Seedetails,Species,Location,Ptt,Datedeployed,Dateretrieved,Animalid,Sex,Gettrack
1257,Chinstrap penguin,"Nattriss Point, Saunders Island",196697,6-Jan-20,,,,1336
1258,Chinstrap penguin,"Nattriss Point, Saunders Island",196698,6-Jan-20,,,,1337
1259,Chinstrap penguin,"Nattriss Point, Saunders Island",196699,6-Jan-20,,,,1338
1260,Chinstrap penguin,"Nattriss Point, Saunders Island",196700,6-Jan-20,,,,1339
1261,Chinstrap penguin,"Nattriss Point, Saunders Island",196701,6-Jan-20,,,,1340
1262,Chinstrap penguin,"Nattriss Point, Saunders Island",196702,6-Jan-20,,,,1341
1263,Chinstrap penguin,"Nattriss Point, Saunders Island",196703,6-Jan-20,,,,1342
1264,Chinstrap penguin,"Nattriss Point, Saunders Island",196704,6-Jan-20,,,,1343
1265,Chinstrap penguin,"Nattriss Point, Saunders Island",196705,6-Jan-20,,,,1344
1266,Chinstrap penguin,"Nattriss Point, Saunders Island",196706,6-Jan-20,,,,1345
1267,Chinstrap penguin,"Nattriss Point, Saunders Island",196707,6-Jan-20,,,,1346
1268,Chinstrap penguin,"Nattriss Point, Saunders Island",196708,6-Jan-20,,,,1347
1269,Chinstrap penguin,"Nattriss Point, Saunders Island",196709,6-Jan-20,,,,1348
1270,Chinstrap penguin,"Nattriss Point, Saunders Island",196710,6-Jan-20,,,,1349
1271,Chinstrap penguin,"Nattriss Point, Saunders Island",196711,6-Jan-20,,,,1350
1272,Chinstrap penguin,"Nattriss Point, Saunders Island",196712,6-Jan-20,,,,1351
1273,Chinstrap penguin,"Nattriss Point, Saunders Island",196713,6-Jan-20,,,,1352
1274,Chinstrap penguin,"Nattriss Point, Saunders Island",196714,6-Jan-20,,,,1353
1275,Chinstrap penguin,"Nattriss Point, Saunders Island",196715,6-Jan-20,,,,1354
1276,Chinstrap penguin,"Nattriss Point, Saunders Island",196716,6-Jan-20,,,,1355
