Colony,Lat,Long
ZAV1,-56.291598,-27.600711
ZAV2,-56.283367,-27.58448
ZAV3,-56.31382,-27.571896
VIS1,-56.684139,-27.217148
VIS2,-56.731172,-27.200194
VIS3,-56.713913,-27.136584
CAND1,-57.081547,-26.713477
CAND2,-57.093691,-26.737944
CAND3,-57.109264,-26.725417
CAND4,-57.11043,-26.690175
CAND5,-57.075266,-26.74192
VIND1,-57.122444,-26.80262
SAUN1,-57.807931,-26.403086
SAUN2,-57.782643,-26.516569
MONT1,-58.51034,-26.274812
MONT2,-58.408907,-26.362576
BRIS1,-59.061495,-26.536258
BRIS2,-59.006304,-26.629464
BRIS3,-58.976064,-26.545065
BELL1,-59.43975,-27.082382
BELL2,-59.404556,-27.071111
COOK1,-59.478657,-27.245201
THUL1,-59.464498,-27.307218
THUL2,-59.416492,-27.321756
